pairing,condition,seed,vessel_collision_rate,vessel_collisions_per_ep,near_misses_per_ep,min_cpa,collision_contact_steps,give_way_events,success_rate,mean_reward,static_collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_encounters,n_vessel_rows,n_solved
RuleBased_vs_RuleBased,harsh,3,40.0,0.9,0.6,117.54521666666665,11.433333333333334,3.1666666666666665,43.333333333333336,-411.4286983333333,0.8333333333333334,28.350485,21.85,15.533333333333333,10.846284615384615,1.0,39.416666666666664,30,60,26
RuleBased_vs_RuleBased,harsh,4,46.666666666666664,1.6666666666666667,0.8,126.39827666666666,17.133333333333333,3.5,50.0,-552.138595,0.2,22.050545,25.416666666666668,15.033333333333333,9.991636666666666,1.0,34.516666666666666,30,60,30
RuleBased_vs_RuleBased,harsh,5,16.666666666666664,0.7,0.36666666666666664,202.91880666666665,1.2666666666666666,0.7333333333333333,40.0,-87.24299833333332,0.18333333333333332,20.918115,30.45,16.7,10.077920833333334,1.0,39.6,30,60,24
RuleBased_vs_RuleBased,harsh,6,60.0,1.7333333333333334,1.3666666666666667,64.43848666666666,3.533333333333333,4.0,73.33333333333333,-111.370725,0.6833333333333333,30.382825,13.716666666666667,9.616666666666667,11.448838636363634,1.0,23.466666666666665,30,60,44
RuleBased_vs_RuleBased,harsh,7,26.666666666666668,0.5,0.3,111.40949333333333,9.0,2.0,63.33333333333333,-278.8387666666667,0.45,15.019295000000001,11.633333333333333,11.166666666666666,10.89511052631579,1.0,28.733333333333334,30,60,38
RuleBased_vs_RuleBased,mid,0,46.666666666666664,1.1,0.43333333333333335,92.68636000000001,12.8,2.2,48.333333333333336,-430.56276999999994,0.8166666666666667,29.35802333333333,5.266666666666667,7.633333333333334,4.557582758620689,1.0,35.95,30,60,29
RuleBased_vs_RuleBased,mid,1,36.666666666666664,0.36666666666666664,0.26666666666666666,151.3560633333333,18.233333333333334,2.7666666666666666,23.333333333333332,-648.3732116666667,0.6833333333333333,8.775843333333333,5.166666666666667,10.283333333333333,6.115421428571429,1.0,47.166666666666664,30,60,14
RuleBased_vs_RuleBased,mid,2,40.0,0.9666666666666667,0.4,88.72774,10.033333333333333,4.266666666666667,45.0,-353.18766,0.36666666666666664,10.87368333333333,3.85,8.333333333333334,4.920429629629631,1.0,37.733333333333334,30,60,27
RuleBased_vs_RuleBased,mid,3,40.0,0.9,0.6,119.63526,11.6,3.1333333333333333,43.333333333333336,-408.64243,0.6833333333333333,20.718275000000002,6.65,7.733333333333333,4.820561538461538,1.0,39.416666666666664,30,60,26
RuleBased_vs_RuleBased,mid,4,50.0,1.8,0.6666666666666666,125.29966333333333,17.266666666666666,3.466666666666667,50.0,-548.650215,0.05,15.228038333333336,7.25,7.5,4.440743333333334,1.0,34.516666666666666,30,60,30
RuleBased_vs_RuleBased,mid,5,20.0,0.8333333333333334,0.26666666666666666,202.11480666666668,1.4,0.9,40.0,-88.28299166666667,0.16666666666666666,14.581071666666665,9.55,7.966666666666667,4.4790875,1.0,39.6,30,60,24
RuleBased_vs_RuleBased,mid,6,63.33333333333333,2.1,1.2666666666666666,61.34876,4.7,4.366666666666666,73.33333333333333,-141.91012166666664,0.8166666666666667,24.218696666666666,4.083333333333333,5.066666666666666,5.08836590909091,1.0,23.466666666666665,30,60,44
RuleBased_vs_RuleBased,mid,7,30.0,0.5333333333333333,0.3,109.72210999999999,10.4,3.433333333333333,63.33333333333333,-316.8658883333334,0.4666666666666667,8.0313,3.6666666666666665,5.316666666666666,4.842263157894737,1.0,28.733333333333334,30,60,38
